Product_name,Price,Rating,No_of_RnR,No_of_ratings,No_of_reviews,Brand,RAM,ROM,Battery,Display_Size,Camera
"realme P4 5G (Steel Grey, 128 GB)",20999,4.4,"21,182 Ratings & 1,423 Reviews",21182,1423,realme,6 GB,128 GB ROM,7000 mAh,6.77 inch,50MP + 8MP | 16MP Front Camera
"realme P4x 5G (Elegant Pink, 128 GB)",20999,4.3,"5,033 Ratings & 383 Reviews",5033,383,realme,8 GB,128 GB ROM,7000 mAh,6.72 inch,50MP + 2MP | 8MP Front Camera
"vivo X200T (Seaside Lilac, 512 GB)",69999,4.6,"3,321 Ratings & 651 Reviews",3321,651,vivo,12 GB,512 GB ROM,6200 mAh,6.67 inch,50MP + 50MP + 50MP | 32MP Front Camera
"Samsung Galaxy M56 5G (Light Green, 128 GB)",24758,4.4,"2,220 Ratings & 162 Reviews",2220,162,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 50MP + 8MP | 12MP + 2MP Dual Front Camera
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",26999,4.4,"44,876 Ratings & 2,639 Reviews",44876,2639,MOTOROLA,12 GB,256 GB ROM,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera
"LAVA Agni 3 5G (Pristine Glass, 128 GB)",20999,3.7,354 Ratings & 35 Reviews,354,35,LAVA,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP Rear Camera
"vivo T4R 5G (Arctic White, 128 GB)",22999,4.4,"49,639 Ratings & 2,797 Reviews",49639,2797,vivo,8 GB,128 GB ROM,5700 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",49999,4.6,"57,318 Ratings & 3,724 Reviews",57318,3724,Samsung,8 GB,128 GB ROM,4000 mAh,6.2 inch,50MP + 12MP | 12MP Front Camera
"MOTOROLA Edge 70 Fusion (Pantone COUNTRY AIR, 128 GB)",26999,4.4,"7,360 Ratings & 803 Reviews",7360,803,MOTOROLA,8 GB,128 GB ROM,7000 mAh,6.8 inch,50MP + 13MP | 32MP Front Camera
"Samsung Galaxy A17 5G (Blue, 128 GB)",20999,4.3,"1,083 Ratings & 84 Reviews",1083,84,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera
"IQOO Z10R 5G (Aquamarine, 128 GB)",23140,4.4,"5,229 Ratings & 308 Reviews",5229,308,IQOO,8 GB,128 GB ROM,5700 mAh,6.77 inch,50MP Rear Camera
"Infinix Note 50s 5G+ 45W Charger In the Box & AI (Marine Drift, 128 GB)",21999,4.3,"23,008 Ratings & 2,036 Reviews",23008,2036,Infinix,8 GB,128 GB ROM,5500 mAh,6.78 inch,64MP + 2MP | 13MP Front Camera
"Nothing Phone (4a) (White, 128 GB)",34999,4.4,"3,934 Ratings & 414 Reviews",3934,414,Nothing,8 GB,128 GB ROM,5400 mAh,6.78 inch,50MP + 50MP + 8MP | 32MP Front Camera
"vivo T5x 5G (Star Silver, 128 GB)",22999,4.3,"6,922 Ratings & 460 Reviews",6922,460,vivo,6 GB,128 GB ROM,7200 mAh,6.76 inch,50MP + 2MP | 32MP Front Camera
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)",22999,4.4,"73,321 Ratings & 4,921 Reviews",73321,4921,OPPO,8 GB,128 GB ROM,7000 mAh,6.67 inch,50MP + 2MP | 16MP Front Camera
"vivo X200T (Stellar Black, 256 GB)",59999,4.6,"3,321 Ratings & 651 Reviews",3321,651,vivo,12 GB,256 GB ROM,6200 mAh,6.67 inch,50MP + 50MP + 50MP | 32MP Front Camera
"OnePlus Nord CE6 (Pitch Black, 128 GB)",34999,4.7,20 Ratings & 3 Reviews,20,3,OnePlus,8 GB,128 GB ROM,8000 mAh,6.78 inch,50MP Rear Camera | 2MP Front Camera
"OPPO K14 5G (Prism Violet, 256 GB)",21999,4.3,793 Ratings & 56 Reviews,793,56,OPPO,6 GB,256 GB ROM,7000 mAh,6.75 inch,50MP Rear Camera | 8MP Front Camera
"OnePlus Nord CE6 Lite (Hyper Black, 128 GB)",26448,4.2,6 Ratings & 1 Reviews,6,1,OnePlus,8 GB,128 GB ROM,7000 mAh,6.72 inch,50MP Rear Camera | 50MP Front Camera
"OnePlus Nord CE6 Lite (Vivid Mint, 128 GB)",23999,3.4,10 Ratings & 2 Reviews,10,2,OnePlus,6 GB,128 GB ROM,7000 mAh,6.72 inch,50MP Rear Camera | 50MP Front Camera
"IQOO Z10 Lite 5G (Titanium Blue, 256 GB)",21990,4.3,"2,767 Ratings & 128 Reviews",2767,128,IQOO,8 GB,256 GB ROM,6000 mAh,6.74 inch,50MP Rear Camera
"realme P4 5G (Steel Grey, 256 GB)",23999,4.4,"17,652 Ratings & 1,238 Reviews",17652,1238,realme,8 GB,256 GB ROM,7000 mAh,6.77 inch,50MP + 8MP | 16MP Front Camera
"MOTOROLA g67 power 5G (Pantone CILANTRO, 256 GB)",22999,,,0,0,MOTOROLA,12 GB,256 GB ROM,7000 mAh,6.7 inch,50MP + 8MP | 32MP Front Camera
"OPPO Reno14 5G (Pearl White, 256 GB)",36999,4.4,"4,706 Ratings & 461 Reviews",4706,461,OPPO,8 GB,256 GB ROM,6000 mAh,6.59 inch,50MP + 8MP + 50MP | 50MP Front Camera
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)",20999,4.4,"89,002 Ratings & 4,971 Reviews",89002,4971,MOTOROLA,8 GB,128 GB ROM,5500 mAh,6.67 inch,50MP + 8MP | 32MP Front Camera
"vivo X200T (Seaside Lilac, 256 GB)",59999,4.6,"3,321 Ratings & 651 Reviews",3321,651,vivo,12 GB,256 GB ROM,6200 mAh,6.67 inch,50MP + 50MP + 50MP | 32MP Front Camera
"Samsung Galaxy F36 5G (Black, 128 GB)",22999,4.2,"5,689 Ratings & 419 Reviews",5689,419,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 8MP + 2MP | 13MP Front Camera
"realme P4 5G (Engine Blue, 128 GB)",21999,4.4,"17,652 Ratings & 1,238 Reviews",17652,1238,realme,8 GB,128 GB ROM,7000 mAh,6.77 inch,50MP + 8MP | 16MP Front Camera
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 128 GB)",22999,4.4,"1,19,085 Ratings & 7,005 Reviews",119085,7005,MOTOROLA,8 GB,128 GB ROM,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera
"IQOO Z10 5G (Glacier Silver / Silver, 256 GB)",27987,4.4,"6,773 Ratings & 351 Reviews",6773,351,IQOO,8 GB,256 GB ROM,7300 mAh,6.77 inch,50MP Rear Camera
"OnePlus Nord 6 (Pitch Black, 256 GB)",51999,4.7,43 Ratings & 8 Reviews,43,8,OnePlus,12 GB,256 GB ROM,9000 mAh,6.78 inch,50MP Rear Camera
"vivo T5 Pro 5G (Cosmic Black, 256 GB)",33999,4.4,"2,333 Ratings & 285 Reviews",2333,285,vivo,8 GB,256 GB ROM,9020 mAh,6.83 inch,50MP + 2MP | 32MP Front Camera
"realme P4x 5G (Lake Green, 256 GB)",20999,4.3,"5,033 Ratings & 383 Reviews",5033,383,realme,8 GB,256 GB ROM,7000 mAh,6.72 inch,50MP + 2MP | 8MP Front Camera
"IQOO Neo 10 (Asphalt Black, 256 GB)",38499,4.5,"1,678 Ratings & 130 Reviews",1678,130,IQOO,8 GB,256 GB ROM,7000 mAh,6.78 inch,50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera
"Samsung Galaxy S25 FE 5G (Jetblack, 256 GB)",65999,4.6,"1,018 Ratings & 104 Reviews",1018,104,Samsung,8 GB,256 GB ROM,4900 mAh,6.7 inch,50MP + 12MP + 8MP | 12MP Front Camera
"realme 16 Pro 5G (Master Gold, 128 GB)",36999,4.4,"1,764 Ratings & 148 Reviews",1764,148,realme,8 GB,128 GB ROM,7000 mAh,6.78 inch,200MP + 8MP | 50MP Front Camera
"Nothing Phone (4a) (Blue, 256 GB)",37999,4.4,"3,934 Ratings & 414 Reviews",3934,414,Nothing,8 GB,256 GB ROM,5400 mAh,6.78 inch,50MP + 50MP + 8MP | 32MP Front Camera
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 128 GB)",22999,4.4,"1,19,085 Ratings & 7,005 Reviews",119085,7005,MOTOROLA,8 GB,128 GB ROM,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",24999,4.4,"73,321 Ratings & 4,921 Reviews",73321,4921,OPPO,8 GB,256 GB ROM,7000 mAh,6.67 inch,50MP + 2MP | 16MP Front Camera
"realme P3 Ultra 5G (Orion Red, 128 GB)",26499,4.4,"20,637 Ratings & 2,027 Reviews",20637,2027,realme,8 GB,128 GB ROM,6000 mAh,6.83 inch,50MP + 8MP | 16MP Front Camera
"realme P4x 5G (Matte Silver, 128 GB)",20999,4.3,"5,033 Ratings & 383 Reviews",5033,383,realme,8 GB,128 GB ROM,7000 mAh,6.72 inch,50MP + 2MP | 8MP Front Camera
"realme P4 Power 5G (TransSilver, 256 GB)",30999,4.4,"1,160 Ratings & 152 Reviews",1160,152,realme,12 GB,256 GB ROM,10001 mAh,6.8 inch,
"Samsung Galaxy A36 5G (Awesome Lavender, 128 GB)",28728,4.3,"2,188 Ratings & 176 Reviews",2188,176,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 8MP | 12MP Front Camera
"REDMI 15 5G (Frosted White, 256 GB)",21705,4.3,"4,230 Ratings & 206 Reviews",4230,206,REDMI,8 GB,256 GB ROM,7000 mAh,6.9 inch,50MP Rear Camera
"vivo T4 5G (Phantom Grey, 256 GB)",28999,4.4,"22,815 Ratings & 1,356 Reviews",22815,1356,vivo,12 GB,256 GB ROM,7300 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera
"vivo T4R 5G (Twilight Blue, 128 GB)",22999,4.4,"49,639 Ratings & 2,797 Reviews",49639,2797,vivo,8 GB,128 GB ROM,5700 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera
"vivo T5 Pro 5G (Glacier Blue, 128 GB)",29999,4.4,"2,333 Ratings & 285 Reviews",2333,285,vivo,8 GB,128 GB ROM,9020 mAh,6.83 inch,50MP + 2MP | 32MP Front Camera
"OnePlus 12 (Glacial White, 256 GB)",48861,4.6,"1,587 Ratings & 139 Reviews",1587,139,OnePlus,12 GB,256 GB ROM,5400 mAh,6.82 inch,50MP Rear Camera
"MOTOROLA Edge 60 Pro (Pantone Shadow, 512 GB)",37999,4.4,"3,255 Ratings & 260 Reviews",3255,260,MOTOROLA,16 GB,512 GB ROM,6000 mAh,6.7 inch,50MP + 50MP + 10MP | 50MP Front Camera
"vivo T4R 5G (Twilight Blue, 256 GB)",24999,4.4,"49,639 Ratings & 2,797 Reviews",49639,2797,vivo,8 GB,256 GB ROM,5700 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 128 GB)",22999,4.4,"73,321 Ratings & 4,921 Reviews",73321,4921,OPPO,8 GB,128 GB ROM,7000 mAh,6.67 inch,50MP + 2MP | 16MP Front Camera
"MOTOROLA Edge 70 Fusion (Pantone COUNTRY AIR, 256 GB)",29999,4.4,"7,360 Ratings & 803 Reviews",7360,803,MOTOROLA,8 GB,256 GB ROM,7000 mAh,6.8 inch,50MP + 13MP | 32MP Front Camera
"Samsung Galaxy A17 5G (Blue, 256 GB)",23999,4.3,"1,083 Ratings & 84 Reviews",1083,84,Samsung,8 GB,256 GB ROM,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera
"realme 15 Pro 5G (Silk Purple, 256 GB)",32999,4.4,"5,546 Ratings & 426 Reviews",5546,426,realme,12 GB,256 GB ROM,7000 mAh,6.8 inch,50MP + 50MP | 50MP Front Camera
"vivo T4 Ultra 5G (Meteor Grey, 256 GB)",37999,4.5,"4,652 Ratings & 466 Reviews",4652,466,vivo,12 GB,256 GB ROM,5500 mAh,6.67 inch,50MP + 8MP + 50MP Periscope | 32MP Front Camera
"REDMI Note 15 5G (Black, 128 GB)",23988,4.3,585 Ratings & 27 Reviews,585,27,REDMI,8 GB,128 GB ROM,5520 mAh,6.77 inch,108MP Rear Camera
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",29999,4.3,"50,786 Ratings & 3,820 Reviews",50786,3820,MOTOROLA,8 GB,256 GB ROM,6000 mAh,6.7 inch,50MP + 50MP + 10MP | 50MP Front Camera
"Samsung Galaxy A17 5G (Black, 128 GB)",20899,4.3,"1,083 Ratings & 84 Reviews",1083,84,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera
"Samsung Galaxy S25 FE 5G (Navy, 256 GB)",65999,4.6,"1,018 Ratings & 104 Reviews",1018,104,Samsung,8 GB,256 GB ROM,4900 mAh,6.7 inch,50MP + 12MP + 8MP | 12MP Front Camera
"IQOO Z11x 5G (Titan Black, 128 GB)",22079,4.4,464 Ratings & 40 Reviews,464,40,IQOO,6 GB,128 GB ROM,7200 mAh,6.7 inch,50MP Rear Camera
"REDMI Note 15 Pro + 5G (Mirage Blue, 512 GB)",44958,4.3,40 Ratings & 2 Reviews,40,2,REDMI,12 GB,512 GB ROM,6500 mAh,6.83 inch,200MP Rear Camera
"Apple iPhone 15 (Black, 128 GB)",59900,4.6,"2,45,471 Ratings & 9,224 Reviews",245471,9224,Apple,,128 GB ROM,,6.1 inch,48MP + 12MP | 12MP Front Camera
"vivo T5 Pro 5G (Glacier Blue, 256 GB)",33999,4.4,"2,333 Ratings & 285 Reviews",2333,285,vivo,8 GB,256 GB ROM,9020 mAh,6.83 inch,50MP + 2MP | 32MP Front Camera
"Samsung Galaxy A17 5G (Black, 128 GB)",21999,4.3,"1,052 Ratings & 73 Reviews",1052,73,Samsung,6 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera
"vivo T4 5G (Phantom Grey, 128 GB)",24999,4.4,"79,143 Ratings & 4,374 Reviews",79143,4374,vivo,8 GB,128 GB ROM,7300 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera
"OPPO K13 Turbo 5G (White Knight, 256 GB)",29999,4.4,"8,179 Ratings & 582 Reviews",8179,582,OPPO,8 GB,256 GB ROM,7000 mAh,6.8 inch,50MP + 2MP | 16MP Front Camera
"Samsung Galaxy F36 5G (Red, 128 GB)",22999,4.2,"5,689 Ratings & 419 Reviews",5689,419,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 8MP + 2MP | 13MP Front Camera
